,CURRENCY_1,CURRENCY_2,VALUE,DATE,HOUR
0,EUR,USD,"1,1331",09/11/2018,20:31
1,EUR,GBP,"0,8735",09/11/2018,20:31
2,EUR,JPY,"128,9010",09/11/2018,20:31
3,EUR,CHF,"1,13939",09/11/2018,20:31
4,EUR,AUD,"1,56928",09/11/2018,20:31
5,EUR,CNY,"7,88235",09/11/2018,20:31
6,USD,EUR,"0,8826",09/11/2018,20:31
7,USD,GBP,"0,77085",09/11/2018,20:31
8,USD,JPY,"113,7670",09/11/2018,20:31
9,USD,CHF,"1,00555",09/11/2018,20:31
10,USD,BRL,"3,74230",09/11/2018,20:31
11,USD,CNY,"6,95570",09/11/2018,20:31
12,EUR,USD,"1,1339",09/11/2018,20:46
13,EUR,GBP,"0,8737",09/11/2018,20:46
14,EUR,JPY,"128,9950",09/11/2018,20:46
15,EUR,CHF,"1,13983",09/11/2018,20:46
16,EUR,AUD,"1,56875",09/11/2018,20:46
17,EUR,CNY,"7,88830",09/11/2018,20:46
18,USD,EUR,"0,8820",09/11/2018,20:46
19,USD,GBP,"0,77051",09/11/2018,20:46
20,USD,JPY,"113,7690",09/11/2018,20:46
21,USD,CHF,"1,00524",09/11/2018,20:46
22,USD,BRL,"3,73420",09/11/2018,20:46
23,USD,CNY,"6,95570",09/11/2018,20:46
24,EUR,USD,"1,1333",09/11/2018,21:01
25,EUR,GBP,"0,8737",09/11/2018,21:01
26,EUR,JPY,"128,9920",09/11/2018,21:01
27,EUR,CHF,"1,13975",09/11/2018,21:01
28,EUR,AUD,"1,56858",09/11/2018,21:01
29,EUR,CNY,"7,88370",09/11/2018,21:01
30,USD,EUR,"0,8824",09/11/2018,21:01
31,USD,GBP,"0,77082",09/11/2018,21:01
32,USD,JPY,"113,8300",09/11/2018,21:01
33,USD,CHF,"1,00573",09/11/2018,21:01
34,USD,BRL,"3,73310",09/11/2018,21:01
35,USD,CNY,"6,95570",09/11/2018,21:01
36,EUR,USD,"1,1332",09/11/2018,21:16
37,EUR,GBP,"0,8740",09/11/2018,21:16
38,EUR,JPY,"129,0150",09/11/2018,21:16
39,EUR,CHF,"1,13959",09/11/2018,21:16
40,EUR,AUD,"1,56874",09/11/2018,21:16
41,EUR,CNY,"7,88370",09/11/2018,21:16
42,USD,EUR,"0,8825",09/11/2018,21:16
43,USD,GBP,"0,77128",09/11/2018,21:16
44,USD,JPY,"113,8310",09/11/2018,21:16
45,USD,CHF,"1,00561",09/11/2018,21:16
46,USD,BRL,"3,73085",09/11/2018,21:16
47,USD,CNY,"6,95570",09/11/2018,21:16
48,EUR,USD,"1,1333",09/11/2018,21:31
49,EUR,GBP,"0,8743",09/11/2018,21:31
50,EUR,JPY,"129,0040",09/11/2018,21:31
51,EUR,CHF,"1,13989",09/11/2018,21:31
52,EUR,AUD,"1,56840",09/11/2018,21:31
53,EUR,CNY,"7,88400",09/11/2018,21:31
54,USD,EUR,"0,8824",09/11/2018,21:31
55,USD,GBP,"0,77147",09/11/2018,21:31
56,USD,JPY,"113,8320",09/11/2018,21:31
57,USD,CHF,"1,00582",09/11/2018,21:31
58,USD,BRL,"3,73085",09/11/2018,21:31
59,USD,CNY,"6,95570",09/11/2018,21:31
